Иркутская область,+8
Новосибирская область,+7
Тюменская область,+5
Нижегородская область,+3
Саратовская область,+4
Республика Татарстан,+3
Удмуртская Республика,+4
Новгородская область,+3
Москва,+3
Кемеровская область,+7
Белгородская область,+3
Хабаровский край,+10
Ленинградская область,+3
Омская область,+6
Калининградская область ,+2
Томская область,+7
Алтайский край,+7
Пермский край,+5
Республика Хакасия,+7
Тверская область,+3
Ярославская область,+3
Тамбовская область,+3
Воронежская область,+3
Челябинская область,+5
Волгоградская область,+3
Краснодарский край,+3
Рязанская область,+3
Брянская область,+3
Владимирская область,+3
Кабардино-Балкария,+3
Калужская область,+3
Костромская область,+3
Красноярский край,+7
Курганская область,+3
Курская область,+3
Липецкая область,+3
Псковская область,+3
Республика Башкортостан,+5
Республика Карелия,+3
Республика Крым,+3
Республика Марий Эл,+3
Республика Северная Осетия-Алания,+3
Смоленская область,+3
Ставропольский край,+3
Чувашская Республика,+3
Орловская область,+3
Тульская область,+3
Архангельская область,+3